,0
"{X2=4,X13=2} => {target=A}",0.03417531474291243
"{X2=1,X5=1} => {target=A}",0.032812667668904325
"{X1=4,X4=1} => {target=A}",0.1564187060761964
"{X9=1,X14=3} => {target=A}",0.034122918510982314
"{X5=1,X14=4} => {target=A}",0.03359889779964922
{X10=4} => {target=A},0.03496113082106723
"{X6=5,X7=4} => {target=A}",0.03338925978826335
"{X6=1,X7=5} => {target=A}",0.03380851882426214
"{X4=1,X12=4} => {target=A}",0.03097720173302179
"{X8=2,X10=5} => {target=A}",0.03249810873118796
"{X5=4,X9=1} => {target=A}",0.03223594708707503
"{X11=4,X15=4} => {target=A}",0.03333684763123361
"{X13=5,X15=4} => {target=A}",0.034070521217378885
"{X6=3,X7=4} => {target=A}",0.035694343640996856
"{X3=5,X5=1} => {target=A}",0.0336513046483124
"{X4=1,X10=4} => {target=A}",0.03396572344515211
"{X9=2,X13=5} => {target=A}",0.03370371043530229
"{X6=5,X9=1} => {target=A}",0.033860921426232114
"{X6=5,X8=5} => {target=A}",0.03359889779964922
"{X4=4,X15=5} => {target=A}",0.03186887619503799
"{X2=1,X14=1} => {target=A}",0.03202619866166514
"{X2=1,X12=2} => {target=A}",0.03428010402175274
"{X8=3,X12=2} => {target=A}",0.035170641431656144
"{X6=5,X14=3} => {target=A}",0.03448966983935367
"{X1=3,X14=3} => {target=A}",0.034856369145732924
"{X11=4,X15=2} => {target=A}",0.03391332296652877
"{X11=2,X12=5} => {target=A}",0.034542058639570626
"{X13=1,X14=3} => {target=A}",0.03312718838638159
"{X5=5,X8=1} => {target=A}",0.034227709913169244
"{X11=3,X15=3} => {target=A}",0.1572661257480445
"{X3=2,X13=2} => {target=A}",0.03428010402175274
"{X10=3,X13=1} => {target=A}",0.03391332296652877
"{X6=1,X15=5} => {target=A}",0.03401812286210216
"{X5=4,X11=4} => {target=A}",0.03239324725856271
"{X3=5,X14=5} => {target=A}",0.03459444637811428
"{X6=1,X13=2} => {target=A}",0.03417531474291243
"{X1=3,X11=2} => {target=A}",0.034542058639570626
"{X6=3,X15=5} => {target=A}",0.033441670883619774
"{X4=4,X7=3} => {target=A}",0.03464683305498462
"{X4=1,X5=2} => {target=A}",0.035170641431656144
"{X1=5,X7=3} => {target=A}",0.16060296867075696
"{X10=2,X12=2} => {target=A}",0.03480398671555581
"{X3=4,X4=2} => {target=A}",0.036636740076136556
"{X2=4,X8=1} => {target=A}",0.03312718838638159
"{X5=2,X11=2} => {target=A}",0.1561694066042092
"{X1=2,X11=3} => {target=A}",0.03428010402175274
"{X1=4,X11=2} => {target=A}",0.034070521217378885
"{X11=1,X12=2} => {target=A}",0.03527539036691075
{X1=2} => {target=A},0.1569172253946728
"{X2=3,X15=5} => {target=A}",0.03307477092098531
"{X2=4,X3=3} => {target=A}",0.03317960479010456
"{X8=3,X11=3} => {target=A}",0.033494080917302896
"{X2=1,X6=2} => {target=A}",0.03448966983935367
"{X7=1,X11=2} => {target=A}",0.15985632833766514
"{X10=4,X11=3} => {target=A}",0.0350658882497083
"{X2=1,X7=1} => {target=A}",0.033860921426232114
"{X11=1,X13=2} => {target=A}",0.03464683305498462
"{X11=2,X13=1} => {target=A}",0.6803420067599489
"{X8=5,X12=5} => {target=A}",0.034070521217378885
"{X7=4,X14=5} => {target=A}",0.03396572344515211
"{X6=2,X9=1} => {target=A}",0.03511826537151886
"{X7=1,X10=3} => {target=A}",0.034122918510982314
"{X3=1,X4=2} => {target=A}",0.03464683305498462
"{X4=2,X15=4} => {target=A}",0.03574670802272774
"{X13=2,X15=1} => {target=A}",0.0336513046483124
"{X1=1,X6=1} => {target=A}",0.035170641431656144
"{X2=4,X15=4} => {target=A}",0.03443727997746338
"{X11=4,X15=5} => {target=A}",0.034122918510982314
"{X5=1,X9=1} => {target=A}",0.034384889053899824
"{X9=3,X14=3} => {target=A}",0.15891024099527037
"{X4=1,X10=2} => {target=A}",0.03417531474291243
"{X2=4,X4=5} => {target=A}",0.03459444637811428
"{X11=3,X12=2} => {target=A}",0.15512205898504974
"{X3=2,X14=3} => {target=A}",0.035537244125764374
"{X11=5,X13=5} => {target=A}",0.156667979006351
{X3=1} => {target=A},0.034751603223705387
"{X1=5,X6=5} => {target=A}",0.03249810873118796
"{X10=3,X14=4} => {target=A}",0.03496113082106723
"{X12=1,X13=2} => {target=A}",0.035170641431656144
"{X11=1,X15=5} => {target=A}",0.033860921426232114
"{X12=2,X13=5} => {target=A}",0.03480398671555581
"{X5=1,X13=3} => {target=A}",0.15831251467620686
"{X6=3,X14=3} => {target=A}",0.03380851882426214
"{X14=2,X15=5} => {target=A}",0.03380851882426214
"{X5=1,X11=1} => {target=A}",0.03380851882426214
"{X5=1,X13=1} => {target=A}",0.0350658882497083
"{X12=4,X14=3} => {target=A}",0.035013510066224426
"{X4=1,X5=4} => {target=A}",0.033441670883619774
"{X8=1,X13=1} => {target=A}",0.03511826537151886
"{X2=5,X9=1} => {target=A}",0.16174735323026215
"{X7=5,X14=3} => {target=A}",0.035484875497340265
{X1=4} => {target=A},0.03307477092098531
"{X4=1,X5=5} => {target=A}",0.16040388793874524
"{X8=5,X14=3} => {target=A}",0.03317960479010456
"{X1=1,X2=1} => {target=A}",0.15891024099527037
"{X3=5,X9=5} => {target=A}",0.034384889053899824
"{X2=5,X10=3} => {target=A}",0.15851177376933429
"{X4=2,X11=5} => {target=A}",0.03480398671555581
"{X4=1,X11=4} => {target=A}",0.033860921426232114
"{X7=1,X13=5} => {target=A}",0.16075226807219603
"{X4=1,X13=2} => {target=A}",0.033546489889312706
"{X1=3,X7=3} => {target=A}",0.03234081492974013
"{X7=3,X13=5} => {target=A}",0.03359889779964922
"{X1=1,X15=5} => {target=A}",0.03448966983935367
"{X7=2,X10=5} => {target=A}",0.03391332296652877
"{X3=5,X12=2} => {target=A}",0.03391332296652877
"{X5=1,X12=3} => {target=A}",0.03428010402175274
"{X9=3,X13=5} => {target=A}",0.03223594708707503
"{X5=1,X10=1} => {target=A}",0.034227709913169244
"{X2=3,X3=5} => {target=A}",0.033546489889312706
"{X4=1,X14=4} => {target=A}",0.030295126000479056
"{X9=3,X11=2} => {target=A}",0.1569172253946728
"{X1=5,X3=3} => {target=A}",0.035799071342785316
"{X2=2,X3=5} => {target=A}",0.03522301643012009
"{X12=2,X15=4} => {target=A}",0.034227709913169244
{X14=3} => {target=A},0.15980654382207257
"{X1=4,X11=3} => {target=A}",0.0336513046483124
"{X2=2,X13=2} => {target=A}",0.033441670883619774
"{X11=3,X14=5} => {target=A}",0.03291751215475664
"{X12=2,X14=3} => {target=A}",0.03370371043530229
"{X1=5,X6=4} => {target=A}",0.03532776324202808
"{X4=3,X9=1} => {target=A}",0.16060296867075696
"{X5=1,X12=2} => {target=A}",0.03380851882426214
"{X1=3,X8=5} => {target=A}",0.033441670883619774
"{X2=4,X13=5} => {target=A}",0.03459444637811428
"{X4=4,X9=1} => {target=A}",0.15626912957802402
"{X10=3,X12=5} => {target=A}",0.03511826537151886
