,rules,interest
171,"{X9=4,X11=1,X12=1} => {target=A}",0.03380851882426214
172,"{X7=3,X9=4,X10=1} => {target=A}",0.033756115160618876
173,"{X3=4,X6=5,X15=3} => {target=A}",0.03480398671555581
174,"{X10=4,X11=2,X14=5} => {target=A}",0.03396572344515211
175,"{X5=4,X7=3,X13=5} => {target=A}",0.03296993280517284
176,"{X2=1,X10=3,X14=1} => {target=A}",0.03118703509229631
177,"{X2=1,X3=1,X15=5} => {target=A}",0.03338925978826335
178,"{X3=1,X5=1,X8=3} => {target=A}",0.03585143360116957
179,"{X1=1,X3=1,X8=2} => {target=A}",0.0350658882497083
180,"{X1=2,X7=2} => {target=A}",0.1578142926262567
181,"{X6=5,X13=4,X15=4} => {target=A}",0.03428010402175274
182,"{X2=5,X3=2,X4=5} => {target=A}",0.03396572344515211
183,"{X1=3,X11=5,X12=1} => {target=A}",0.034384889053899824
184,"{X10=1,X12=1,X14=3} => {target=A}",0.034227709913169244
185,"{X7=3,X8=3,X14=2} => {target=A}",0.03417531474291243
186,"{X4=3,X5=4,X10=5} => {target=A}",0.03380851882426214
187,"{X5=4,X13=3,X14=1} => {target=A}",0.03428010402175274
188,"{X2=1,X11=5,X14=1} => {target=A}",0.03317960479010456
189,"{X4=2,X5=4} => {target=A}",0.15577047224201762
190,"{X3=1,X14=4} => {target=A}",0.16060296867075696
191,"{X4=5,X13=3,X15=4} => {target=A}",0.0350658882497083
192,"{X3=1,X7=5} => {target=A}",0.15955760531901003
193,"{X3=1,X10=3,X12=1} => {target=A}",0.03359889779964922
194,"{X6=2,X9=4,X15=5} => {target=A}",0.03370371043530229
195,"{X10=1,X11=4,X15=4} => {target=A}",0.03448966983935367
196,"{X6=4,X10=2,X12=2} => {target=A}",0.03564197819759267
197,"{X10=1,X11=5} => {target=A}",0.15970697160586747
198,"{X5=3,X10=5,X15=4} => {target=A}",0.033546489889312706
199,"{X1=1,X4=1,X11=5} => {target=A}",0.034227709913169244
200,"{X5=4,X6=2,X8=4} => {target=A}",0.03464683305498462
201,"{X8=5,X10=3,X11=3} => {target=A}",0.03223594708707503
202,"{X3=4,X8=3,X14=4} => {target=A}",0.034384889053899824
203,"{X11=5,X13=5,X15=3} => {target=A}",0.03234081492974013
204,"{X2=1,X5=4,X12=5} => {target=A}",0.032131074997716697
205,"{X3=1,X5=4,X10=4} => {target=A}",0.035013510066224426
206,"{X2=3,X6=4,X10=2} => {target=A}",0.035537244125764374
207,"{X6=4,X11=4,X12=1} => {target=A}",0.03443727997746338
208,"{X1=2,X8=2,X14=2} => {target=A}",0.03469921867018166
209,"{X3=3,X14=2} => {target=A}",0.15995589418383038
210,"{X5=2,X10=5,X15=3} => {target=A}",0.03380851882426214
211,"{X1=1,X6=4,X10=4} => {target=A}",0.03396572344515211
212,"{X2=2,X12=5} => {target=A}",0.15891024099527037
213,"{X8=4,X14=2,X15=2} => {target=A}",0.034856369145732924
214,"{X5=4,X11=5,X14=2} => {target=A}",0.03611322896799126
215,"{X3=3,X9=3,X14=2} => {target=A}",0.03538013505547212
216,"{X9=3,X13=4} => {target=A}",0.15950781443337764
217,"{X2=2,X5=5,X11=5} => {target=A}",0.03480398671555581
218,"{X6=1,X13=2,X15=4} => {target=A}",0.0336513046483124
219,"{X1=2,X11=5,X15=5} => {target=A}",0.03302235239391573
220,"{X9=3,X10=5,X13=3} => {target=A}",0.03496113082106723
221,"{X1=2,X14=3,X15=5} => {target=A}",0.032812667668904325
222,"{X1=3,X4=5,X9=1} => {target=A}",0.03323202013215422
223,"{X1=1,X2=4,X9=2} => {target=A}",0.03307477092098531
224,"{X1=2,X3=1,X6=2} => {target=A}",0.032812667668904325
225,"{X8=3,X14=2} => {target=A}",0.16234420048382675
226,"{X1=1,X10=4} => {target=A}",0.15751530843596784
227,"{X5=4,X10=2,X13=3} => {target=A}",0.034542058639570626
228,"{X11=5,X14=4,X15=4} => {target=A}",0.03464683305498462
229,"{X6=3,X8=3,X10=2} => {target=A}",0.03511826537151886
230,"{X6=1,X10=4,X12=1} => {target=A}",0.03480398671555581
231,"{X11=5,X12=5,X15=3} => {target=A}",0.034122918510982314
232,"{X7=1,X8=3,X12=3} => {target=A}",0.03585143360116957
233,"{X5=1,X8=2,X14=5} => {target=A}",0.036636740076136556
234,"{X2=1,X5=4,X14=5} => {target=A}",0.033441670883619774
235,"{X2=1,X5=4,X15=5} => {target=A}",0.03496113082106723
236,"{X3=2,X4=1,X8=4} => {target=A}",0.032865090442667125
237,"{X1=2,X12=5,X13=4} => {target=A}",0.032655392977576025
238,"{X5=3,X8=3,X15=4} => {target=A}",0.034070521217378885
239,"{X5=3,X9=4} => {target=A}",0.15686737824035507
240,"{X3=4,X13=3,X14=5} => {target=A}",0.034384889053899824
241,"{X2=1,X5=5,X11=5} => {target=A}",0.03249810873118796
242,"{X2=4,X9=3,X15=1} => {target=A}",0.03448966983935367
243,"{X5=4,X8=5,X15=5} => {target=A}",0.03202619866166514
244,"{X3=4,X5=4,X8=3} => {target=A}",0.03469921867018166
245,"{X9=4,X11=1,X14=1} => {target=A}",0.034908750514236725
246,"{X7=2,X8=1,X13=4} => {target=A}",0.03428010402175274
247,"{X13=1,X14=3,X15=5} => {target=A}",0.031711544173351064
248,"{X7=2,X9=3,X11=3} => {target=A}",0.03532776324202808
249,"{X1=3,X11=3,X14=5} => {target=A}",0.034751603223705387
250,"{X4=1,X12=5} => {target=A}",0.16000567551440306
251,"{X1=5,X3=2,X8=5} => {target=A}",0.034332497068662926
252,"{X1=2,X4=2,X7=2} => {target=A}",0.034332497068662926
253,"{X3=2,X4=1,X10=3} => {target=A}",0.03464683305498462
254,"{X1=3,X4=2,X15=5} => {target=A}",0.03276024383346819
255,"{X7=2,X9=5,X13=1} => {target=A}",0.034070521217378885
256,"{X1=3,X3=2,X10=1} => {target=A}",0.03564197819759267
257,"{X2=3,X7=2,X14=5} => {target=A}",0.03307477092098531
258,"{X8=3,X9=5,X14=2} => {target=A}",0.03511826537151886
259,"{X2=2,X11=4,X12=5} => {target=A}",0.034122918510982314
260,"{X1=2,X10=4,X12=3} => {target=A}",0.03359889779964922
261,"{X6=2,X13=4,X15=4} => {target=A}",0.034070521217378885
262,"{X6=4,X7=4,X13=4} => {target=A}",0.03417531474291243
263,"{X1=1,X2=4,X9=3} => {target=A}",0.034384889053899824
264,"{X2=1,X8=4,X15=5} => {target=A}",0.03296993280517284
265,"{X4=4,X5=3,X15=3} => {target=A}",0.03417531474291243
266,"{X3=1,X13=3} => {target=A}",0.16174735323026215
267,"{X3=3,X9=2,X14=5} => {target=A}",0.033546489889312706
268,"{X5=1,X6=4,X10=2} => {target=A}",0.03417531474291243
269,"{X6=1,X13=3,X15=3} => {target=A}",0.03391332296652877
270,"{X9=3,X10=1} => {target=A}",0.1599061117915844
271,"{X2=1,X5=4,X8=1} => {target=A}",0.034384889053899824
272,"{X3=4,X4=3,X5=4} => {target=A}",0.033756115160618876
273,"{X7=2,X8=1,X15=3} => {target=A}",0.035432505807242845
274,"{X1=1,X11=4} => {target=A}",0.15980654382207257
275,"{X2=1,X5=3,X9=3} => {target=A}",0.03459444637811428
276,"{X12=3,X13=2,X14=2} => {target=A}",0.03459444637811428
277,"{X7=1,X13=5,X14=2} => {target=A}",0.03538013505547212
278,"{X2=3,X12=5,X15=5} => {target=A}",0.03302235239391573
279,"{X5=2,X6=4,X14=5} => {target=A}",0.0350658882497083
280,"{X1=2,X7=1,X11=4} => {target=A}",0.03401812286210216
281,"{X6=2,X9=4,X15=4} => {target=A}",0.03448966983935367
282,"{X1=2,X5=4,X13=3} => {target=A}",0.03585143360116957
283,"{X4=5,X10=2,X12=2} => {target=A}",0.035432505807242845
284,"{X2=3,X7=2,X13=3} => {target=A}",0.03480398671555581
285,"{X5=4,X7=2,X11=5} => {target=A}",0.03538013505547212
286,"{X9=4,X11=1,X15=5} => {target=A}",0.034227709913169244
287,"{X11=5,X12=1,X15=4} => {target=A}",0.034332497068662926
288,"{X3=2,X4=1,X13=1} => {target=A}",0.03338925978826335
289,"{X1=4,X8=4,X9=4} => {target=A}",0.03443727997746338
290,"{X1=5,X3=2,X6=1} => {target=A}",0.03417531474291243
291,"{X9=4,X14=5,X15=5} => {target=A}",0.032550537874990626
292,"{X1=2,X2=1,X12=3} => {target=A}",0.033546489889312706
293,"{X3=2,X7=2,X14=2} => {target=A}",0.03459444637811428
294,"{X2=1,X4=1,X14=1} => {target=A}",0.03192131807892035
295,"{X7=2,X11=2,X13=1} => {target=A}",0.03511826537151886
296,"{X1=3,X9=3,X10=3} => {target=A}",0.034070521217378885
