,rules,interest
141,"{X7=1,X8=2,X15=3} => {target=A}",0.03517064143165614
142,"{X1=2,X13=2,X15=5} => {target=A}",0.03428010402175274
143,"{X1=1,X9=2,X15=4} => {target=A}",0.034437279977463396
144,"{X3=5,X5=3,X10=4} => {target=A}",0.035118265371518874
145,"{X4=1,X7=5,X8=3} => {target=A}",0.03480398671555581
146,"{X2=2,X5=2,X15=4} => {target=A}",0.03396572344515211
147,"{X9=2,X15=3} => {target=A}",0.1579637703888115
148,"{X2=1,X5=5,X14=2} => {target=A}",0.033756115160618876
149,"{X5=5,X7=3,X15=5} => {target=A}",0.03260296595711998
150,"{X1=1,X7=1,X9=3} => {target=A}",0.033651304648312404
151,"{X2=3,X7=1,X15=3} => {target=A}",0.036636740076136556
152,"{X11=5,X14=4} => {target=A}",0.1578142926262567
153,"{X3=3,X11=4,X15=3} => {target=A}",0.03396572344515211
154,"{X6=5,X8=2,X15=5} => {target=A}",0.034542058639570626
155,"{X5=5,X7=5,X9=2} => {target=A}",0.034489669839353664
156,"{X8=4,X12=5,X15=5} => {target=A}",0.03228838153924423
157,{X2=3} => {target=A},0.6808236672371318
158,"{X5=5,X6=3,X13=4} => {target=A}",0.034751603223705387
159,"{X2=3,X13=3,X15=5} => {target=A}",0.03291751215475664
160,"{X2=5,X3=1,X12=5} => {target=A}",0.03501351006622441
161,"{X5=3,X12=3,X14=1} => {target=A}",0.03464683305498462
162,"{X1=1,X2=5,X6=5} => {target=A}",0.033860921426232114
163,"{X8=2,X12=3,X13=5} => {target=A}",0.03517064143165614
164,"{X1=3,X11=3,X14=5} => {target=A}",0.034751603223705387
165,"{X2=2,X5=1,X15=2} => {target=A}",0.03501351006622441
166,"{X7=2,X11=2,X13=1} => {target=A}",0.035118265371518874
167,"{X4=1,X12=5,X13=4} => {target=A}",0.034542058639570626
168,"{X8=2,X15=5} => {target=A}",0.15362503592045565
169,"{X4=1,X9=3,X15=2} => {target=A}",0.034751603223705387
170,"{X2=3,X7=2,X13=5} => {target=A}",0.033860921426232114
171,"{X9=2,X12=5,X14=5} => {target=A}",0.03045254401770392
172,"{X1=2,X8=3,X15=4} => {target=A}",0.03480398671555581
173,"{X4=2,X8=4} => {target=A}",0.15746547402172978
174,"{X6=2,X9=4,X15=4} => {target=A}",0.034489669839353664
175,"{X3=3,X5=5,X7=1} => {target=A}",0.03579907134278531
176,"{X8=3,X10=5,X15=4} => {target=A}",0.034542058639570626
177,"{X3=4,X4=3,X13=3} => {target=A}",0.033546489889312706
178,"{X3=4,X13=4,X15=2} => {target=A}",0.03464683305498462
179,"{X1=3,X10=1} => {target=A}",0.1626922907804644
180,"{X3=3,X10=4,X14=1} => {target=A}",0.03396572344515211
181,"{X6=1,X8=2,X11=1} => {target=A}",0.03480398671555581
182,"{X7=2,X9=3,X11=3} => {target=A}",0.03532776324202808
183,"{X12=3,X13=2,X14=2} => {target=A}",0.03459444637811428
184,"{X5=5,X13=4} => {target=A}",0.156667979006351
185,"{X2=5,X11=5,X15=5} => {target=A}",0.033651304648312404
186,"{X4=4,X5=2,X10=4} => {target=A}",0.035223016430120095
187,"{X3=2,X4=1,X14=3} => {target=A}",0.034122918510982314
188,"{X2=3,X7=3,X9=4} => {target=A}",0.034489669839353664
189,"{X6=4,X13=3,X15=5} => {target=A}",0.033860921426232114
190,"{X2=4,X4=1,X10=1} => {target=A}",0.033860921426232114
191,"{X1=1,X2=5,X14=5} => {target=A}",0.034070521217378885
192,"{X6=2,X11=2,X15=5} => {target=A}",0.03438488905389982
193,"{X1=3,X7=5,X10=1} => {target=A}",0.03469921867018166
194,"{X1=1,X3=1,X15=3} => {target=A}",0.03438488905389982
195,"{X5=5,X6=1,X10=1} => {target=A}",0.03464683305498462
196,"{X1=3,X11=1,X15=4} => {target=A}",0.03527539036691074
197,"{X2=1,X5=4,X11=2} => {target=A}",0.03239324725856271
198,"{X6=5,X8=5,X12=5} => {target=A}",0.03380851882426215
199,"{X1=2,X4=2,X15=3} => {target=A}",0.034542058639570626
200,"{X2=4,X7=2,X9=2} => {target=A}",0.03438488905389982
201,"{X2=4,X12=1,X15=4} => {target=A}",0.03359889779964921
202,"{X8=4,X10=4,X11=5} => {target=A}",0.03469921867018166
203,"{X1=3,X10=1,X11=2} => {target=A}",0.03380851882426215
204,"{X1=2,X2=3,X15=4} => {target=A}",0.03496113082106723
205,"{X1=2,X14=1,X15=5} => {target=A}",0.03464683305498462
206,"{X1=1,X2=4,X7=2} => {target=A}",0.03323202013215422
207,"{X2=2,X6=1,X11=5} => {target=A}",0.033756115160618876
208,"{X6=3,X8=3,X10=2} => {target=A}",0.035118265371518874
209,"{X5=5,X6=4,X9=5} => {target=A}",0.03532776324202808
210,"{X2=5,X5=3,X6=5} => {target=A}",0.034856369145732924
211,"{X7=3,X8=4,X13=5} => {target=A}",0.03422770991316924
212,"{X6=2,X13=2,X15=5} => {target=A}",0.033546489889312706
213,"{X1=2,X11=5,X15=5} => {target=A}",0.03302235239391573
214,"{X8=3,X11=2,X13=1} => {target=A}",0.034437279977463396
215,"{X1=1,X8=2} => {target=A}",0.1579139455296332
216,"{X8=3,X11=1,X15=5} => {target=A}",0.03333684763123361
217,"{X6=2,X15=5} => {target=A}",0.15552110376126535
218,"{X1=2,X3=4,X12=3} => {target=A}",0.03417531474291243
219,"{X5=1,X10=2,X15=5} => {target=A}",0.03391332296652877
220,"{X2=4,X6=2,X15=2} => {target=A}",0.036427348372958135
221,"{X2=1,X14=1,X15=5} => {target=A}",0.02877292588422381
222,"{X4=5,X7=2,X13=5} => {target=A}",0.033651304648312404
223,"{X1=2,X2=1,X6=5} => {target=A}",0.03422770991316924
224,"{X1=1,X2=2,X11=5} => {target=A}",0.03202619866166514
225,"{X2=1,X5=3,X14=5} => {target=A}",0.03391332296652877
226,"{X2=1,X5=1,X14=1} => {target=A}",0.03087227868334468
227,"{X2=2,X3=3,X12=3} => {target=A}",0.03459444637811428
228,"{X2=5,X3=1,X11=1} => {target=A}",0.03517064143165614
229,"{X7=1,X12=3,X14=2} => {target=A}",0.03417531474291243
230,"{X9=3,X10=1} => {target=A}",0.15990611179158443
231,"{X5=4,X11=1} => {target=A}",0.15965718390525496
232,"{X3=1,X12=3,X15=3} => {target=A}",0.03401812286210216
233,"{X1=1,X4=3,X15=3} => {target=A}",0.033494080917302896
234,"{X3=4,X4=5,X8=1} => {target=A}",0.033651304648312404
235,"{X3=3,X9=3,X14=2} => {target=A}",0.03538013505547212
236,"{X1=1,X8=3,X14=2} => {target=A}",0.03600851400628251
237,"{X2=2,X11=5,X14=5} => {target=A}",0.03307477092098531
238,"{X1=1,X8=4,X12=1} => {target=A}",0.03433249706866293
239,"{X7=1,X11=4,X14=5} => {target=A}",0.03391332296652877
240,"{X5=5,X7=2,X15=5} => {target=A}",0.03270781893635876
241,"{X1=1,X11=5} => {target=A}",0.15985632833766514
242,"{X5=1,X10=1,X15=5} => {target=A}",0.03328443441253057
243,"{X3=5,X4=5,X6=3} => {target=A}",0.03496113082106723
244,"{X4=5,X6=5,X7=2} => {target=A}",0.034856369145732924
245,"{X4=2,X5=5,X15=4} => {target=A}",0.03417531474291243
246,"{X3=3,X9=4,X11=3} => {target=A}",0.03611322896799126
247,"{X1=1,X2=1,X15=3} => {target=A}",0.03234081492974013
248,{X14=1} => {target=A},0.6769653595815751
249,"{X8=4,X15=5} => {target=A}",0.15362503592045565
250,"{X8=4,X13=5,X15=5} => {target=A}",0.03307477092098531
251,"{X1=3,X2=1,X11=5} => {target=A}",0.031711544173351064
252,"{X9=5,X11=1,X14=1} => {target=A}",0.03480398671555581
253,"{X10=1,X12=1,X14=3} => {target=A}",0.03422770991316924
254,"{X2=4,X4=2,X11=3} => {target=A}",0.03207863736052757
255,"{X6=5,X9=3,X13=4} => {target=A}",0.035118265371518874
256,"{X11=1,X15=5} => {target=A}",0.15377478122468402
257,"{X1=2,X13=2,X14=5} => {target=A}",0.03464683305498462
258,"{X1=4,X3=3,X8=4} => {target=A}",0.033441670883619774
259,"{X3=4,X6=4} => {target=A}",0.15836233104199868
260,"{X13=3,X15=5} => {target=A}",0.15577047224201762
261,"{X2=3,X5=2,X9=2} => {target=A}",0.03459444637811428
262,"{X3=1,X7=2,X9=3} => {target=A}",0.03464683305498462
263,"{X3=3,X8=5,X10=3} => {target=A}",0.03501351006622441
264,"{X12=5,X14=2,X15=3} => {target=A}",0.034437279977463396
265,"{X1=4,X4=4,X9=1} => {target=A}",0.034542058639570626
266,"{X8=5,X11=2,X15=5} => {target=A}",0.03296993280517284
267,"{X11=3,X13=5} => {target=A}",0.15552110376126535
268,"{X1=4,X7=1,X11=5} => {target=A}",0.034542058639570626
269,"{X3=5,X8=3,X11=1} => {target=A}",0.033860921426232114
270,"{X1=5,X5=1,X6=4} => {target=A}",0.033651304648312404
271,"{X1=1,X12=4,X15=2} => {target=A}",0.034489669839353664
272,"{X1=2,X3=2,X8=3} => {target=A}",0.03433249706866293
273,"{X4=1,X5=5,X7=1} => {target=A}",0.03658439374285191
274,"{X1=1,X11=2,X14=5} => {target=A}",0.03380851882426215
275,"{X1=2,X9=2,X13=3} => {target=A}",0.03422770991316924
276,"{X3=3,X13=5,X15=5} => {target=A}",0.03207863736052757
277,"{X1=5,X3=1,X4=2} => {target=A}",0.034070521217378885
278,"{X3=1,X5=1,X15=5} => {target=A}",0.03417531474291243
279,"{X1=1,X13=2,X15=5} => {target=A}",0.03270781893635876
280,"{X8=4,X11=5} => {target=A}",0.15975675824480667
281,"{X3=1,X12=2,X13=3} => {target=A}",0.03600851400628251
282,"{X6=4,X10=1,X11=1} => {target=A}",0.03611322896799126
283,"{X4=3,X6=5,X11=1} => {target=A}",0.034856369145732924
284,"{X11=1,X12=4} => {target=A}",0.16085179569812216
285,"{X9=4,X13=3,X15=2} => {target=A}",0.03480398671555581
286,"{X2=3,X10=5,X15=3} => {target=A}",0.03396572344515211
287,"{X4=1,X8=1,X11=2} => {target=A}",0.034489669839353664
288,"{X9=4,X11=1,X12=4} => {target=A}",0.034542058639570626
289,"{X10=5,X15=3} => {target=A}",0.15626912957802402
290,"{X2=1,X9=4,X10=3} => {target=A}",0.03428010402175274
291,"{X8=5,X14=4} => {target=A}",0.15676768074669964
292,"{X7=2,X13=4,X14=3} => {target=A}",0.03281266766890432
293,"{X7=5,X9=2} => {target=A}",0.15905964868738687
294,"{X1=2,X2=2,X14=5} => {target=A}",0.03438488905389982
295,"{X7=1,X11=4,X15=3} => {target=A}",0.034542058639570626
296,"{X2=2,X11=5,X12=5} => {target=A}",0.03370371043530229
297,"{X2=1,X10=5,X11=4} => {target=A}",0.03296993280517284
298,"{X8=2,X12=1,X14=4} => {target=A}",0.03438488905389982
299,"{X3=2,X8=2,X9=2} => {target=A}",0.03391332296652877
300,"{X5=4,X10=2,X14=2} => {target=A}",0.03558961169251518
301,"{X1=5,X3=1,X15=2} => {target=A}",0.03538013505547212
302,"{X1=1,X4=2,X8=1} => {target=A}",0.03422770991316924
